Name;Inhabitants;Size
"Abidjan (former capital; still hosts some government offices)";;
Abu Dhabi;1010092.0;972.0
Abuja;1235880.0;1476.0
Accra;2388000.0;20.4
Adamstown;40.0;4.6
Addis Ababa;3040740.0;527.0
Aden (de facto, temporary);;
Algiers;3915811.0;363.0
Alofi;597.0;46.48
Amman;4061150.0;1680.0
Amsterdam (official);905234.0;219.32
Andorra la Vella;22873.0;12.0
Ankara;5747325.0;25632.0
Antananarivo;1275207.0;85.0
Apia;41611.0;123.81
Ashgabat;791000.0;470.0
Asmara;963000.0;45.0
Astana;1511807.0;810.2
Asunción;521559.0;117.0
Atafu (atoll administration);541.0;
Athens;637798.0;38.964
Avarua;4906.0;28.0
Baghdad;7682136.0;673.0
Baku;2303100.0;2140.0
Bamako;1809106.0;245.0
Bandar Seri Begawan;100700.0;100.36
Bangkok;8305218.0;1568.737
Bangui;889231.0;67.0
Banjul;73000.0;12.0
Basseterre;14000.0;6.1
Beijing;21858000.0;16410.5
Beirut;361366.0;19.0
Belgrade;1688667.0;389.12
Belmopan;20621.0;32.78
Berlin;3677472.0;891.3
Bern (de facto);134591.0;51.62
Bishkek;1074075.0;386.0
Bissau;492004.0;77.5
Bogotá;7181469.0;1587.0
Brasília;2982818.0;5802.0
Bratislava;440948.0;367.584
Brazzaville;1696392.0;588.0
Bridgetown;110000.0;40.0
Brussels;187686.0;162.42
Brussels;187686.0;162.42
Bucharest;1716983.0;240.0
Budapest;1706851.0;525.2
Buenos Aires;3120612.0;205.9
Bujumbura (de facto);;
Cairo;10107125.0;3085.12
Canberra;431380.0;814.2
Cape Town (legislative);;2461.0
Caracas;2245744.0;433.0
Castries;20000.0;79.0
Charlotte Amalie;14477.0;3.14
Chișinău;779300.0;123.0
Cockburn Town;3720.0;17.39
Colombo (executive, judicial);;
Comayagüela;;
Conakry;1660973.0;450.0
Copenhagen;638117.0;90.01
Dakar;1438725.0;79.83
Damascus;2079000.0;105.0
Dhaka;8906039.0;306.0
Dili;277279.0;178.62
Djibouti;;
Dodoma;410956.0;2576.0
Doha;1186023.0;132.0
Douglas;27938.0;11.0
Dublin;592713.0;117.8
Dushanbe;863400.0;203.0
Edinburgh of the Seven Seas;;
Episkopi Cantonment;;
Flying Fish Cove;1599.0;
Freetown;1055964.0;82.48
Funafuti;6320.0;2.79
Gaborone;273602.0;169.0
George Town;34399.0;29.0
Georgetown;118363.0;70.0
Georgetown;118363.0;70.0
Gibraltar;34003.0;6.8
Guatemala City;2934841.0;997.0
Gustavia;2615.0;3.4
Hagåtña;1051.0;3.0
Hamilton;854.0;0.7
Hanoi;8053663.0;3358.6
Harare;2123132.0;982.3
Hargeisa;;
Havana;2132183.0;728.26
Helsinki;658864.0;715.48
Honiara;92344.0;22.0
Islamabad;1014825.0;220.15
Jakarta (de facto);10562088.0;660.982
Jamestown;629.0;3.6
Jerusalem;936425.0;125.126
Jerusalem;936425.0;125.126
Juba;525953.0;52.0
Kabul;4601789.0;381.3
Kampala;1680600.0;189.0
Kathmandu;845767.0;49.45
Khartoum;2682431.0;322.7
Kigali;1132686.0;730.0
King Edward Point;22.0;
Kingston;662491.0;25.0
Kingston;662491.0;25.0
Kingstown;12909.0;
Kinshasa;12691000.0;9965.0
Kuwait City;55159.0;860.0
Kyiv;2920873.0;839.0
Libreville;703904.0;65.42
Lilongwe;989318.0;727.79
Lima;10151000.0;2672.3
Lisbon;509614.0;100.05
Ljubljana;285604.0;274.99
Lobamba (royal and legislative);;
Lomé;837437.0;99.14
London;9002488.0;1572.0
London (administration);9002488.0;1572.0
Luanda;2571861.0;116.0
Lusaka;2731696.0;360.0
Luxembourg;;
Madrid;3305408.0;604.31
Majuro;27797.0;9.7
Malabo;297000.0;21.0
Malé;211908.0;11.22
Managua;1055247.0;267.0
Manama;200000.0;30.0
Manila;1846513.0;42.34
Maputo;1124988.0;347.69
Mariehamn;11736.0;20.75
Marigot;3229.0;21.611
Maseru;330760.0;137.5
Mata Utu;1029.0;
Mexico City;9209944.0;1485.0
Minsk;1996553.0;409.53
Mogadishu;2388000.0;370.0
Monaco;38350.0;2.08
Monrovia;1010970.0;194.25
Montevideo;1319108.0;201.0
Moroni;111326.0;30.0
Moscow;13274285.0;2561.4
Muscat;1294101.0;3500.0
N'Djamena;916000.0;104.0
Nairobi;4397073.0;696.1
Nassau;274400.0;200.0
Naypyidaw;1160242.0;7054.0
New Delhi;249998.0;42.7
Ngerulmud;0.0;0.45
Niamey;1334984.0;552.27
Nicosia;326739.0;20.08
Nicosia;326739.0;20.08
Nouakchott;1195600.0;1000.0
Nouméa;94285.0;45.7
Nukuʻalofa;27600.0;
Nuuk;18800.0;49.0
Oranjestad;28294.0;23.0
Oslo;697010.0;480.0
Ottawa;1017449.0;2970.3
Ouagadougou;2453496.0;
Pago Pago;3656.0;8.85
Palikir;6647.0;
Panama City;1086990.0;2082.0
Papeete;26926.0;17.4
Paramaribo;240924.0;182.0
Paris;2139907.0;105.4
Philipsburg;1894.0;
Phnom Penh;2281951.0;679.0
Plymouth (de jure);;
Podgorica;190488.0;108.0
Port Louis;147066.0;46.7
Port Moresby;364145.0;240.0
Port Vila;51437.0;23.6
Port of Spain;37074.0;12.0
Port-au-Prince;987310.0;36.04
Porto-Novo (official);264320.0;110.0
Prague;1357326.0;496.21
Praia;159050.0;102.6
Pristina;227466.0;523.13
Putrajaya (administrative and judicial);;49.0
Pyongyang;2870000.0;829.1
Quito;2800388.0;197.5
Rabat;577827.0;117.0
Reykjavík;133262.0;244.0
Riga;605802.0;3047.0
Riyadh;7676654.0;1973.0
Road Town;12603.0;
Rome;2761632.0;1287.36
Roseau;14725.0;5.4
Rothera;;
Saipan;47565.0;118.98
San José;342188.0;44.62
San Juan;342259.0;199.0
San Marino;;
San Salvador;570459.0;72.25
Santiago;6310000.0;641.0
Santo Domingo;1111838.0;1502.0
Sarajevo;275524.0;141.5
Seoul;9508451.0;605.21
Singapore;5917600.0;735.7
Skopje;544086.0;571.46
Sofia;1307439.0;500.0
South Tarawa;;
St. George's;33734.0;
St. Helier;;
St. John's[14][15];22219.0;
St. Peter Port;;
St. Pierre;;
Stanley;2460.0;2.5
Stockholm;978770.0;188.0
Sucre (constitutional);360544.0;1768.0
Sukhumi;;
Suva;93970.0;26.24
São Tomé;71868.0;17.0
Taipei;2608332.0;271.8
Tallinn;438341.0;159.2
Tashkent;2860600.0;631.29
Tbilisi;1201769.0;504.3
Tehran;8693706.0;615.0
The Valley;1067.0;2.72
Thimphu;114551.0;26.1
Tifariti (de facto);;6.78
Tirana;557422.0;1110.0
Tiraspol;133807.0;55.56
Tokyo;14094034.0;2194.075
Tripoli;1170000.0;1507.0
Tskhinvali;;
Tunis;638845.0;212.0
Tórshavn;22738.0;173.0
Ulaanbaatar;1466125.0;4704.4
Vaduz;5774.0;17.28
Valletta;5827.0;0.61
Vatican City;764.0;0.49
Victoria;26450.0;20.1
Vienna;1962779.0;414.78
Vientiane;927724.0;3920.0
Vilnius;576195.0;401.0
Warsaw;1863056.0;517.24
Washington, D.C.;670050.0;177.0
Wellington;217000.0;289.91
West Island;134.0;6.23
Willemstad;136660.0;
Windhoek;431000.0;5133.0
Yaoundé;2765568.0;180.0
Yaren (de facto);747.0;1.5
Yerevan;1096100.0;223.0
Zagreb;769944.0;641.2
